nodes,granularity,max_depth,screen_width,screen_height,lower_left_x,lower_left_y,upper_right_x,upper_right_y,difficulty,Blocks
3,10,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.1
6,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.1
1,20,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.1
1,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.1
6,40,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.1
3,20,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.1
2,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.1
6,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.1
2,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.1
4,60,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.1
3,20,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.1
5,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.1
3,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.1
4,20,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.1
3,120,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.1
1,10,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.1
2,5,1024,1920,1080,-0.005873612866112004283,-1.007323566937334392824,0.003830416542916253462,-1.001865048436934870673,easy,.1
1,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.1
2,5,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.1
4,120,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.1
1,5,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.1
3,40,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.1
6,10,300000,1920,1080,0.250455424878192725363,0.000015964345669804373,0.250455424878194101568,0.000015964345670578497,hard,.1
2,10,150000,1920,1080,-2.0,-1.125,2.0,1.125,default,.1
